annee;code_reg;nom_region;conso_totale;prod_mwh;taux_couverture;couleur_carte
2014;11;Île-de-France;133345459.99000001;3319000.0;2.49;Rouge
2014;24;Centre-Val de Loire;31148819.52;80517000.0;258.49;Vert
2014;27;Bourgogne-Franche-Comté;38614525.93;2005000.0;5.19;Rouge
2014;28;Normandie;68145937.35000001;76767000.0;112.65;Vert
2014;32;Hauts-de-France;98136619.24000001;43032000.0;43.85;Rouge
2014;44;Grand Est;96123339.77;105653000.0;109.91;Vert
2014;52;Pays de la Loire;42937808.01;5411000.0;12.6;Rouge
2014;53;Bretagne;34574837.95;2761000.0;7.99;Rouge
2014;75;Nouvelle-Aquitaine;59450400.1;50710000.0;85.3;Orange
2014;76;Occitanie;60324993.69;32150000.0;53.29;Orange
2014;84;Auvergne-Rhône-Alpes;97098588.02;119360000.0;122.93;Vert
2014;93;Provence-Alpes-Côte d'Azur;60190855.17;14641000.0;24.32;Rouge
2014;94;Corse;1943926.0;1479000.0;76.08;Orange
2015;11;Île-de-France;138917911.58;3598000.0;2.59;Rouge
2015;24;Centre-Val de Loire;33073509.0;82257000.0;248.71;Vert
2015;27;Bourgogne-Franche-Comté;38380229.809999995;2433000.0;6.34;Rouge
2015;28;Normandie;69566252.69;70117000.0;100.79;Vert
2015;32;Hauts-de-France;107208910.49;48790000.0;45.51;Rouge
2015;44;Grand Est;106575254.87;107181000.0;100.57;Vert
2015;52;Pays de la Loire;45089671.97;5853000.0;12.98;Rouge
2015;53;Bretagne;35395856.21;3133000.0;8.85;Rouge
2015;75;Nouvelle-Aquitaine;65495752.54;48686000.0;74.33;Orange
2015;76;Occitanie;53504725.75;34219000.0;63.96;Orange
2015;84;Auvergne-Rhône-Alpes;111706214.81;121102000.0;108.41;Vert
2015;93;Provence-Alpes-Côte d'Azur;69972317.32000001;15891000.0;22.71;Rouge
2015;94;Corse;1930382.0;1535000.0;79.52;Orange
2016;11;Île-de-France;148118022.37;3724000.0;2.51;Rouge
2016;24;Centre-Val de Loire;34533115.61;78660000.0;227.78;Vert
2016;27;Bourgogne-Franche-Comté;40147894.78;2762000.0;6.88;Rouge
