annee;code_reg;nom_reg;filiere_raw;prod_gwh;filiere;prod_mwh;categorie
2014;11;Île-de-France;Production nucléaire (GWh);0.0;Nucléaire;0.0;Non-Renouvelable
2017;11;Île-de-France;Production nucléaire (GWh);0.0;Nucléaire;0.0;Non-Renouvelable
2021;11;Île-de-France;Production nucléaire (GWh);0.0;Nucléaire;0.0;Non-Renouvelable
2015;24;Centre-Val de Loire;Production nucléaire (GWh);79281.0;Nucléaire;79281000.0;Non-Renouvelable
2017;24;Centre-Val de Loire;Production nucléaire (GWh);74851.0;Nucléaire;74851000.0;Non-Renouvelable
2018;24;Centre-Val de Loire;Production nucléaire (GWh);74536.0;Nucléaire;74536000.0;Non-Renouvelable
2024;24;Centre-Val de Loire;Production nucléaire (GWh);70541.0;Nucléaire;70541000.0;Non-Renouvelable
2021;27;Bourgogne-Franche-Comté;Production nucléaire (GWh);0.0;Nucléaire;0.0;Non-Renouvelable
2014;28;Normandie;Production nucléaire (GWh);72092.0;Nucléaire;72092000.0;Non-Renouvelable
2015;28;Normandie;Production nucléaire (GWh);64779.0;Nucléaire;64779000.0;Non-Renouvelable
2017;28;Normandie;Production nucléaire (GWh);53013.0;Nucléaire;53013000.0;Non-Renouvelable
2018;28;Normandie;Production nucléaire (GWh);60399.0;Nucléaire;60399000.0;Non-Renouvelable
2023;32;Hauts-de-France;Production nucléaire (GWh);28739.0;Nucléaire;28739000.0;Non-Renouvelable
2021;44;Grand Est;Production nucléaire (GWh);61263.0;Nucléaire;61263000.0;Non-Renouvelable
2021;52;Pays de la Loire;Production nucléaire (GWh);0.0;Nucléaire;0.0;Non-Renouvelable
2016;53;Bretagne;Production nucléaire (GWh);0.0;Nucléaire;0.0;Non-Renouvelable
2022;53;Bretagne;Production nucléaire (GWh);0.0;Nucléaire;0.0;Non-Renouvelable
2023;53;Bretagne;Production nucléaire (GWh);0.0;Nucléaire;0.0;Non-Renouvelable
2014;75;Nouvelle-Aquitaine;Production nucléaire (GWh);42538.0;Nucléaire;42538000.0;Non-Renouvelable
2017;75;Nouvelle-Aquitaine;Production nucléaire (GWh);45143.0;Nucléaire;45143000.0;Non-Renouvelable
2018;75;Nouvelle-Aquitaine;Production nucléaire (GWh);45775.0;Nucléaire;45775000.0;Non-Renouvelable
2020;75;Nouvelle-Aquitaine;Production nucléaire (GWh);38215.0;Nucléaire;38215000.0;Non-Renouvelable
2021;75;Nouvelle-Aquitaine;Production nucléaire (GWh);36682.0;Nucléaire;36682000.0;Non-Renouvelable
2022;75;Nouvelle-Aquitaine;Production nucléaire (GWh);21874.0;Nucléaire;21874000.0;Non-Renouvelable
2015;84;Auvergne-Rhône-Alpes;Production nucléaire (GWh);90853.0;Nucléaire;90853000.0;Non-Renouvelable
2017;84;Auvergne-Rhône-Alpes;Production nucléaire (GWh);79991.0;Nucléaire;79991000.0;Non-Renouvelable
