annee;mois_num;code_reg;nom_reg;filiere_raw;prod_gwh;filiere;prod_mwh
2014;01;24;Centre-Val de Loire;Production nucléaire (GWh);8017.913;Nucléaire;8017913.0
2014;01;53;Bretagne;Production nucléaire (GWh);0.0;Nucléaire;0.0
2015;01;32;Hauts-de-France;Production nucléaire (GWh);3892.397;Nucléaire;3892397.0
2015;01;94;Corse;Production nucléaire (GWh);0.0;Nucléaire;0.0
2016;01;32;Hauts-de-France;Production nucléaire (GWh);3667.36;Nucléaire;3667360.0
2016;01;44;Grand Est;Production nucléaire (GWh);8893.224;Nucléaire;8893224.0
2016;01;53;Bretagne;Production nucléaire (GWh);0.0;Nucléaire;0.0
2016;01;93;Provence-Alpes-Côte d'Azur;Production nucléaire (GWh);0.0;Nucléaire;0.0
2017;01;75;Nouvelle-Aquitaine;Production nucléaire (GWh);3891.254;Nucléaire;3891254.0
2017;01;76;Occitanie;Production nucléaire (GWh);1904.252;Nucléaire;1904252.0
2018;01;28;Normandie;Production nucléaire (GWh);6540.971;Nucléaire;6540971.0
2018;01;32;Hauts-de-France;Production nucléaire (GWh);3929.464;Nucléaire;3929464.0
2019;01;24;Centre-Val de Loire;Production nucléaire (GWh);7662.415;Nucléaire;7662415.0
2019;01;44;Grand Est;Production nucléaire (GWh);8456.918;Nucléaire;8456918.0
2019;01;76;Occitanie;Production nucléaire (GWh);1899.084;Nucléaire;1899084.0
2020;01;27;Bourgogne-Franche-Comté;Production nucléaire (GWh);0.0;Nucléaire;0.0
2020;01;32;Hauts-de-France;Production nucléaire (GWh);3105.844;Nucléaire;3105844.0
2020;01;44;Grand Est;Production nucléaire (GWh);8642.734;Nucléaire;8642734.0
2020;01;84;Auvergne-Rhône-Alpes;Production nucléaire (GWh);8382.942;Nucléaire;8382941.999999999
2020;01;93;Provence-Alpes-Côte d'Azur;Production nucléaire (GWh);0.0;Nucléaire;0.0
2021;01;11;Île-de-France;Production nucléaire (GWh);0.0;Nucléaire;0.0
2021;01;27;Bourgogne-Franche-Comté;Production nucléaire (GWh);0.0;Nucléaire;0.0
2021;01;32;Hauts-de-France;Production nucléaire (GWh);3383.767;Nucléaire;3383767.0
2021;01;76;Occitanie;Production nucléaire (GWh);1882.124;Nucléaire;1882124.0
2022;01;52;Pays de la Loire;Production nucléaire (GWh);0.0;Nucléaire;0.0
2022;01;75;Nouvelle-Aquitaine;Production nucléaire (GWh);2633.297;Nucléaire;2633297.0
2022;01;93;Provence-Alpes-Côte d'Azur;Production nucléaire (GWh);0.0;Nucléaire;0.0
2022;01;94;Corse;Production nucléaire (GWh);0.0;Nucléaire;0.0
2023;01;28;Normandie;Production nucléaire (GWh);4385.354;Nucléaire;4385354.0
2023;01;53;Bretagne;Production nucléaire (GWh);0.0;Nucléaire;0.0
2023;01;84;Auvergne-Rhône-Alpes;Production nucléaire (GWh);9197.037;Nucléaire;9197037.0
2024;01;52;Pays de la Loire;Production nucléaire (GWh);0.0;Nucléaire;0.0
2024;01;75;Nouvelle-Aquitaine;Production nucléaire (GWh);4256.239;Nucléaire;4256239.0
2024;01;84;Auvergne-Rhône-Alpes;Production nucléaire (GWh);7391.333;Nucléaire;7391333.0
2014;02;27;Bourgogne-Franche-Comté;Production nucléaire (GWh);0.0;Nucléaire;0.0
2014;02;28;Normandie;Production nucléaire (GWh);5173.489;Nucléaire;5173489.0
2014;02;44;Grand Est;Production nucléaire (GWh);7364.437;Nucléaire;7364437.0
2015;02;94;Corse;Production nucléaire (GWh);0.0;Nucléaire;0.0
2016;02;53;Bretagne;Production nucléaire (GWh);0.0;Nucléaire;0.0
2017;02;84;Auvergne-Rhône-Alpes;Production nucléaire (GWh);7266.1;Nucléaire;7266100.0
2018;02;32;Hauts-de-France;Production nucléaire (GWh);3533.639;Nucléaire;3533639.0
2019;02;53;Bretagne;Production nucléaire (GWh);0.0;Nucléaire;0.0
2020;02;28;Normandie;Production nucléaire (GWh);4074.403;Nucléaire;4074403.0
2020;02;94;Corse;Production nucléaire (GWh);0.0;Nucléaire;0.0
2021;02;24;Centre-Val de Loire;Production nucléaire (GWh);6619.576;Nucléaire;6619576.0
2021;02;27;Bourgogne-Franche-Comté;Production nucléaire (GWh);0.0;Nucléaire;0.0
2021;02;28;Normandie;Production nucléaire (GWh);5124.394;Nucléaire;5124394.0
2021;02;32;Hauts-de-France;Production nucléaire (GWh);2513.957;Nucléaire;2513957.0
2021;02;52;Pays de la Loire;Production nucléaire (GWh);0.0;Nucléaire;0.0
2021;02;84;Auvergne-Rhône-Alpes;Production nucléaire (GWh);6338.572;Nucléaire;6338572.0
2022;02;28;Normandie;Production nucléaire (GWh);5188.543;Nucléaire;5188543.0
2022;02;32;Hauts-de-France;Production nucléaire (GWh);2067.966;Nucléaire;2067966.0
2022;02;75;Nouvelle-Aquitaine;Production nucléaire (GWh);2216.741;Nucléaire;2216741.0
2022;02;93;Provence-Alpes-Côte d'Azur;Production nucléaire (GWh);0.0;Nucléaire;0.0
2023;02;76;Occitanie;Production nucléaire (GWh);780.152;Nucléaire;780152.0
2023;02;84;Auvergne-Rhône-Alpes;Production nucléaire (GWh);8698.068;Nucléaire;8698068.0
2024;02;27;Bourgogne-Franche-Comté;Production nucléaire (GWh);0.0;Nucléaire;0.0
2024;02;52;Pays de la Loire;Production nucléaire (GWh);0.0;Nucléaire;0.0
2024;02;53;Bretagne;Production nucléaire (GWh);0.0;Nucléaire;0.0
2024;02;94;Corse;Production nucléaire (GWh);0.0;Nucléaire;0.0
2014;03;28;Normandie;Production nucléaire (GWh);4638.981;Nucléaire;4638981.0
2014;03;76;Occitanie;Production nucléaire (GWh);1827.789;Nucléaire;1827789.0
2014;03;84;Auvergne-Rhône-Alpes;Production nucléaire (GWh);7700.958;Nucléaire;7700958.0
2015;03;11;Île-de-France;Production nucléaire (GWh);0.0;Nucléaire;0.0
2015;03;32;Hauts-de-France;Production nucléaire (GWh);3484.013;Nucléaire;3484013.0
2016;03;27;Bourgogne-Franche-Comté;Production nucléaire (GWh);0.0;Nucléaire;0.0
2016;03;75;Nouvelle-Aquitaine;Production nucléaire (GWh);3667.576;Nucléaire;3667576.0
2016;03;93;Provence-Alpes-Côte d'Azur;Production nucléaire (GWh);0.0;Nucléaire;0.0
2016;03;94;Corse;Production nucléaire (GWh);0.0;Nucléaire;0.0
2017;03;52;Pays de la Loire;Production nucléaire (GWh);0.0;Nucléaire;0.0
2017;03;75;Nouvelle-Aquitaine;Production nucléaire (GWh);4139.42;Nucléaire;4139420.0
2018;03;27;Bourgogne-Franche-Comté;Production nucléaire (GWh);0.0;Nucléaire;0.0
2018;03;44;Grand Est;Production nucléaire (GWh);7122.04;Nucléaire;7122040.0
2018;03;75;Nouvelle-Aquitaine;Production nucléaire (GWh);3858.163;Nucléaire;3858163.0
2018;03;84;Auvergne-Rhône-Alpes;Production nucléaire (GWh);7256.741;Nucléaire;7256741.0
2018;03;93;Provence-Alpes-Côte d'Azur;Production nucléaire (GWh);0.0;Nucléaire;0.0
2019;03;32;Hauts-de-France;Production nucléaire (GWh);3236.365;Nucléaire;3236365.0
2019;03;53;Bretagne;Production nucléaire (GWh);0.0;Nucléaire;0.0
2019;03;93;Provence-Alpes-Côte d'Azur;Production nucléaire (GWh);0.0;Nucléaire;0.0
2020;03;27;Bourgogne-Franche-Comté;Production nucléaire (GWh);0.0;Nucléaire;0.0
2020;03;44;Grand Est;Production nucléaire (GWh);4183.066;Nucléaire;4183066.0
2020;03;76;Occitanie;Production nucléaire (GWh);1716.66;Nucléaire;1716660.0
2020;03;84;Auvergne-Rhône-Alpes;Production nucléaire (GWh);6369.253;Nucléaire;6369253.0
2021;03;11;Île-de-France;Production nucléaire (GWh);0.0;Nucléaire;0.0
2021;03;24;Centre-Val de Loire;Production nucléaire (GWh);6346.446;Nucléaire;6346446.0
2021;03;27;Bourgogne-Franche-Comté;Production nucléaire (GWh);0.0;Nucléaire;0.0
2021;03;52;Pays de la Loire;Production nucléaire (GWh);0.0;Nucléaire;0.0
2021;03;94;Corse;Production nucléaire (GWh);0.0;Nucléaire;0.0
2022;03;24;Centre-Val de Loire;Production nucléaire (GWh);5396.351;Nucléaire;5396351.0
2022;03;84;Auvergne-Rhône-Alpes;Production nucléaire (GWh);7403.905;Nucléaire;7403905.0
2022;03;94;Corse;Production nucléaire (GWh);0.0;Nucléaire;0.0
2023;03;28;Normandie;Production nucléaire (GWh);2629.732;Nucléaire;2629732.0
2023;03;32;Hauts-de-France;Production nucléaire (GWh);3182.302;Nucléaire;3182302.0
2023;03;75;Nouvelle-Aquitaine;Production nucléaire (GWh);2105.51;Nucléaire;2105510.0
2023;03;76;Occitanie;Production nucléaire (GWh);635.7;Nucléaire;635700.0
2023;03;93;Provence-Alpes-Côte d'Azur;Production nucléaire (GWh);0.0;Nucléaire;0.0
2024;03;24;Centre-Val de Loire;Production nucléaire (GWh);5440.291;Nucléaire;5440291.0
2024;03;27;Bourgogne-Franche-Comté;Production nucléaire (GWh);0.0;Nucléaire;0.0
2024;03;28;Normandie;Production nucléaire (GWh);5694.223;Nucléaire;5694223.0
2014;04;24;Centre-Val de Loire;Production nucléaire (GWh);6402.015;Nucléaire;6402015.0
2014;04;28;Normandie;Production nucléaire (GWh);5449.967;Nucléaire;5449967.0
2014;04;32;Hauts-de-France;Production nucléaire (GWh);1968.521;Nucléaire;1968521.0
2014;04;53;Bretagne;Production nucléaire (GWh);0.0;Nucléaire;0.0
2015;04;11;Île-de-France;Production nucléaire (GWh);0.0;Nucléaire;0.0
2015;04;28;Normandie;Production nucléaire (GWh);5534.023;Nucléaire;5534023.0
2015;04;32;Hauts-de-France;Production nucléaire (GWh);2483.363;Nucléaire;2483363.0
2016;04;53;Bretagne;Production nucléaire (GWh);0.0;Nucléaire;0.0
2018;04;53;Bretagne;Production nucléaire (GWh);0.0;Nucléaire;0.0
2018;04;93;Provence-Alpes-Côte d'Azur;Production nucléaire (GWh);0.0;Nucléaire;0.0
2019;04;11;Île-de-France;Production nucléaire (GWh);0.0;Nucléaire;0.0
2019;04;32;Hauts-de-France;Production nucléaire (GWh);2617.311;Nucléaire;2617311.0
2019;04;44;Grand Est;Production nucléaire (GWh);6027.839;Nucléaire;6027839.0
2019;04;76;Occitanie;Production nucléaire (GWh);1729.557;Nucléaire;1729557.0
2019;04;93;Provence-Alpes-Côte d'Azur;Production nucléaire (GWh);0.0;Nucléaire;0.0
2020;04;11;Île-de-France;Production nucléaire (GWh);0.0;Nucléaire;0.0
2021;04;76;Occitanie;Production nucléaire (GWh);1815.579;Nucléaire;1815579.0
2021;04;93;Provence-Alpes-Côte d'Azur;Production nucléaire (GWh);0.0;Nucléaire;0.0
2021;04;94;Corse;Production nucléaire (GWh);0.0;Nucléaire;0.0
2022;04;24;Centre-Val de Loire;Production nucléaire (GWh);4336.189;Nucléaire;4336189.0
2022;04;27;Bourgogne-Franche-Comté;Production nucléaire (GWh);0.0;Nucléaire;0.0
2022;04;28;Normandie;Production nucléaire (GWh);3109.586;Nucléaire;3109586.0
2022;04;32;Hauts-de-France;Production nucléaire (GWh);2233.134;Nucléaire;2233134.0
2022;04;52;Pays de la Loire;Production nucléaire (GWh);0.0;Nucléaire;0.0
2022;04;53;Bretagne;Production nucléaire (GWh);0.0;Nucléaire;0.0
2022;04;94;Corse;Production nucléaire (GWh);0.0;Nucléaire;0.0
2023;04;27;Bourgogne-Franche-Comté;Production nucléaire (GWh);0.0;Nucléaire;0.0
2023;04;84;Auvergne-Rhône-Alpes;Production nucléaire (GWh);7971.684;Nucléaire;7971684.0
2023;04;93;Provence-Alpes-Côte d'Azur;Production nucléaire (GWh);0.0;Nucléaire;0.0
2023;04;94;Corse;Production nucléaire (GWh);0.0;Nucléaire;0.0
2024;04;76;Occitanie;Production nucléaire (GWh);1461.73;Nucléaire;1461730.0
2024;04;93;Provence-Alpes-Côte d'Azur;Production nucléaire (GWh);0.0;Nucléaire;0.0
2014;05;27;Bourgogne-Franche-Comté;Production nucléaire (GWh);0.0;Nucléaire;0.0
2014;05;75;Nouvelle-Aquitaine;Production nucléaire (GWh);3521.83;Nucléaire;3521830.0
2014;05;76;Occitanie;Production nucléaire (GWh);859.775;Nucléaire;859775.0
2015;05;24;Centre-Val de Loire;Production nucléaire (GWh);5529.326;Nucléaire;5529326.0
2015;05;27;Bourgogne-Franche-Comté;Production nucléaire (GWh);0.0;Nucléaire;0.0
2015;05;28;Normandie;Production nucléaire (GWh);4827.349;Nucléaire;4827349.0
2015;05;44;Grand Est;Production nucléaire (GWh);6711.317;Nucléaire;6711317.0
2015;05;93;Provence-Alpes-Côte d'Azur;Production nucléaire (GWh);0.0;Nucléaire;0.0
2016;05;24;Centre-Val de Loire;Production nucléaire (GWh);5770.908;Nucléaire;5770908.0
2016;05;52;Pays de la Loire;Production nucléaire (GWh);0.0;Nucléaire;0.0
2016;05;84;Auvergne-Rhône-Alpes;Production nucléaire (GWh);6656.286;Nucléaire;6656286.0
